"","Estimate","Std.Error","P","95% CI"
"(Intercept)",0.906,0.0699,"5.65e-26","[0.769, 1.043]"
"Time",-0.103,0.0129,"2.18e-08","[-0.129, -0.078]"
"Birth-assigned sex (Male)",-0.084,0.0157,"1.02e-07","[-0.114, -0.053]"
"Puberty",0.048,0.0077,"3.38e-10","[0.033, 0.063]"
"Parental education",-0.022,0.004,"6.81e-08","[-0.029, -0.014]"
"Family income",-0.036,0.0043,"1.39e-16","[-0.044, -0.027]"
